generation,best_fitness
0,-22.1874
1,-21.878
2,-21.9535
3,-21.7766
4,-21.6131
5,-21.3263
6,-21.5408
7,-21.6002
8,-21.5968
9,-21.5484
10,-21.6058
11,-20.9677
12,-21.4969
13,-21.5119
14,-21.6066
15,-21.3902
16,-21.5083
17,-21.6268
18,-21.428
19,-21.3162
20,-21.4731
21,-21.56
22,-21.4309
23,-21.4866
24,-21.386
25,-21.1644
26,-21.5712
27,-21.5892
28,-21.6123
29,-21.3951
30,-21.3715
31,-21.2977
32,-21.3813
33,-21.5086
34,-21.3433
35,-21.3461
36,-21.4159
37,-21.6089
38,-21.2225
39,-21.423
40,-21.437
41,-21.2764
42,-21.2045
43,-21.4034
44,-21.5707
45,-21.5582
46,-21.344
47,-21.4229
48,-21.4743
49,-21.681
50,-21.5083
51,-21.4383
52,-21.5482
53,-21.2329
54,-21.3687
55,-21.3703
56,-21.4597
57,-21.51
58,-21.3859
59,-21.5329
60,-21.4823
61,-21.6377
62,-21.4032
63,-21.4179
64,-21.5482
65,-21.4257
66,-21.5034
67,-21.3339
68,-21.2755
69,-21.4176
70,-21.2591
71,-21.332
72,-21.5706
73,-21.5117
74,-21.4888
75,-21.5666
76,-21.4325
77,-21.291
78,-21.5836
79,-21.4553
80,-21.5168
81,-21.4068
82,-21.4387
83,-21.4135
84,-21.535
85,-21.2459
86,-21.28
87,-21.2963
88,-21.5126
89,-21.3666
90,-21.4953
91,-21.4598
92,-21.4191
93,-21.473
94,-21.5042
95,-21.2696
96,-21.5407
97,-21.6236
98,-21.5153
99,-21.3017
100,-21.4306
101,-21.4563
102,-21.4745
103,-21.574
104,-21.5235
105,-21.4822
106,-21.5111
107,-21.3554
108,-21.2736
109,-21.3175
110,-21.4479
111,-21.3171
112,-21.5726
113,-21.5926
114,-21.5094
115,-21.4188
116,-21.3515
117,-21.3656
118,-21.4096
119,-21.325
120,-21.396
121,-21.3952
122,-21.4278
123,-21.2685
124,-21.4205
125,-21.4
126,-21.5409
127,-21.2873
128,-21.3083
129,-21.2777
130,-21.4035
131,-21.3693
132,-21.3348
133,-21.4058
134,-21.1713
135,-21.188
136,-21.4932
137,-21.6214
138,-21.3891
139,-21.5924
140,-21.1924
141,-21.5482
142,-21.4804
143,-21.3791
144,-21.4575
145,-21.5532
146,-21.4809
147,-21.5421
148,-21.4656
149,-21.5642
150,-21.5004
151,-21.2377
152,-21.4685
153,-21.3468
154,-21.486
155,-21.4844
156,-21.4629
157,-21.2489
158,-21.2996
159,-21.5385
160,-21.1511
161,-21.5137
162,-21.3712
163,-21.5255
164,-21.4154
165,-21.3518
166,-21.2024
167,-21.2637
168,-21.4468
169,-21.3811
170,-21.5072
171,-21.5123
172,-21.5372
173,-21.4014
174,-21.4167
175,-21.4808
176,-21.4182
177,-21.3184
178,-21.49
179,-21.5101
180,-21.3403
181,-21.3899
182,-21.6139
183,-21.5723
184,-21.4182
185,-21.2788
186,-21.4726
187,-21.4542
188,-21.5056
189,-21.4746
190,-21.4656
191,-21.6187
192,-21.5329
193,-21.5773
194,-21.4461
195,-21.4441
196,-21.3353
197,-21.278
198,-21.2826
199,-21.3579
200,-21.123
201,-21.2782
202,-21.5512
203,-21.5116
204,-21.4969
205,-21.6463
206,-21.4964
207,-21.3777
208,-21.5101
209,-21.404
210,-21.6338
211,-21.3876
212,-21.5682
213,-21.4652
214,-21.3701
215,-21.5236
216,-21.436
217,-21.5834
218,-21.599
219,-21.442
220,-21.6351
221,-21.4663
222,-21.4555
223,-21.4566
224,-21.4768
225,-21.047
226,-21.3076
227,-21.4669
228,-21.4332
229,-21.32
230,-21.3948
231,-21.3063
232,-21.4289
233,-21.4267
234,-21.4279
235,-21.4565
236,-21.4816
237,-21.6292
238,-21.4857
239,-21.3256
240,-21.4828
241,-21.203
242,-21.145
243,-21.3676
244,-21.4023
245,-21.6319
246,-21.5774
247,-21.3645
248,-21.4767
249,-21.1881
250,-21.5347
251,-21.2256
252,-21.3975
253,-21.3866
254,-21.5048
255,-21.3615
256,-21.5589
257,-21.5867
258,-21.4092
259,-21.4033
260,-21.4283
261,-21.1471
262,-21.2182
263,-21.5772
264,-21.2894
265,-21.4688
266,-21.4702
267,-21.4971
268,-21.3353
269,-21.455
270,-21.4475
271,-21.3239
272,-21.2363
273,-21.4357
274,-21.5642
275,-21.3248
276,-21.4447
277,-21.422
278,-21.439
279,-21.421
280,-21.5078
281,-21.5263
282,-21.3054
283,-21.0287
284,-21.6716
285,-21.2284
286,-21.2104
287,-21.3925
288,-21.4271
289,-21.5459
290,-21.4802
291,-21.2963
292,-21.3892
293,-21.4797
294,-21.2368
295,-21.5011
296,-21.3082
297,-21.4601
298,-21.4046
299,-21.7007
